187 845 nan nan 738 816 338 1099 nan nan 707 995 
127 831 nan nan 679 795 298 1106 nan nan 663 985 
70 824 nan nan 615 769 258 1107 nan nan 615 969 
18 822 nan nan 554 740 222 1105 nan nan 568 951 
nan nan nan nan 497 710 192 1101 nan nan 521 927 
nan nan nan nan 446 684 170 1093 nan nan 477 897 
nan nan nan nan 407 667 155 1081 nan nan 438 861 
nan nan nan nan 374 650 148 1068 440 1195 403 824 
nan nan 313 1183 351 637 147 1057 458 1168 373 789 
nan nan 365 1140 327 620 154 1048 482 1136 346 753 
nan nan 423 1093 306 606 165 1044 507 1105 318 722 
1 785 477 1045 282 591 180 1043 538 1072 290 693 
25 776 532 987 251 586 199 1043 569 1038 255 675 
58 767 583 928 217 582 223 1045 600 998 221 666 
101 759 629 861 182 580 252 1047 627 954 185 666 
152 749 662 787 143 578 288 1049 651 897 151 679 
208 733 677 723 103 577 328 1049 663 838 119 706 
268 714 673 665 63 588 366 1044 659 769 94 740 
317 692 652 619 29 588 397 1031 640 707 74 777 
354 670 622 575 1 594 420 1019 610 659 59 812 
378 650 588 539 nan nan 435 1009 575 625 52 848 
